,log_return,log_return,log_return,open_gap_up,open_gap_up,open_gap_up,open_gap_down,open_gap_down,open_gap_down,log_return,shift,shift,shift,shift,shift,gap,gap
,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,^VIX,shift 0,shift 1,shift 2,shift 3,shift 4,open_gap_up,open_gap_down
Date,,,,,,,,,,,,,,,,,
2001-01-29,-0.0016406894574598886,0.009345928183293925,-0.005876572866718468,0,0,0,0,0,0,-0.008368189213498176,0.003599980997995045,0.006167352727632381,-0.001405719830123021,0.00796531310968863,-0.0027798236570768372,0,0
2001-01-30,-0.012225495074266873,0.0,0.014814635844051115,0,0,0,0,0,1,-0.02191148164926743,0.0027664721434076584,0.003599980997995045,0.006167352727632381,-0.001405719830123021,0.00796531310968863,0,0
2001-01-31,-0.017080730046489877,-0.0018779874362897082,0.012869285363440992,0,0,1,0,0,0,-0.04093098289877822,-0.005858154815342708,0.0027664721434076584,0.003599980997995045,0.006167352727632381,-0.001405719830123021,0,0
2001-02-01,0.013701133292651215,-0.018975901963426148,-0.01182557722085427,0,0,0,0,0,0,-0.033147168822497027,-0.007283338201360247,-0.005858154815342708,0.0027664721434076584,0.003599980997995045,0.006167352727632381,0,0
2001-02-02,0.029514060513164006,0.000957355767776191,0.008691508220919957,0,0,0,1,0,0,0.050454412977703665,0.0007355331656649396,-0.007283338201360247,-0.005858154815342708,0.0027664721434076584,0.003599980997995045,0,0
2001-02-05,0.018582441792824707,-0.006088854325159482,0.008694812800979855,0,1,0,0,0,0,-0.024923384384966482,0.002043861743136636,0.0007355331656649396,-0.007283338201360247,-0.005858154815342708,0.0027664721434076584,0,0
2001-02-06,-0.006535970979785533,0.0037699405957790275,-0.0018993938659013852,0,0,0,0,0,0,-0.002726097674963601,0.0038526637441583566,0.002043861743136636,0.0007355331656649396,-0.007283338201360247,-0.005858154815342708,0,0
2001-02-07,-0.014212766101683679,-0.002600755342109479,0.024552720912375654,0,0,1,0,0,0,0.0018476179035283047,-0.010815532496290746,0.0038526637441583566,0.002043861743136636,0.0007355331656649396,-0.007283338201360247,0,0
2001-02-08,-0.01839209175422892,0.004737166735915753,-0.03697279898813618,0,0,0,1,0,0,0.0,-0.0031371438638885894,-0.010815532496290746,0.0038526637441583566,0.002043861743136636,0.0007355331656649396,0,0
2001-02-09,0.02548876276716612,-0.010901422790037406,0.007944079732492788,0,0,0,0,0,0,0.016476372913922958,-0.006758140786418787,-0.0031371438638885894,-0.010815532496290746,0.0038526637441583566,0.002043861743136636,0,0
2001-02-12,0.010246329934443289,0.010481304302748814,-0.002325087252204638,0,0,0,0,0,0,-0.05070002612105438,0.012429946260371007,-0.006758140786418787,-0.0031371438638885894,-0.010815532496290746,0.0038526637441583566,0,0
2001-02-13,0.008163310639161056,0.011342263588737035,0.023986311933933555,0,0,0,0,0,0,-0.0125553171708718,-0.0020689672004444355,0.012429946260371007,-0.006758140786418787,-0.0031371438638885894,-0.010815532496290746,0,0
2001-02-14,-0.016648496355989372,-0.004683849619739905,-0.014706091700682863,0,0,0,0,0,0,-0.014760401298199801,-0.00843230610276908,-0.0020689672004444355,0.012429946260371007,-0.006758140786418787,-0.0031371438638885894,0,0
2001-02-15,-0.008629326698054525,0.0009341038149384593,-0.024368614180205066,0,0,0,0,0,0,-0.05937597087313913,0.003507282000961311,-0.00843230610276908,-0.0020689672004444355,0.012429946260371007,-0.006758140786418787,0,0
2001-02-16,-0.02156417791584064,-0.013270311245380596,0.017013643101766212,0,0,1,0,0,0,0.02147677776551026,-0.017841644710121875,0.003507282000961311,-0.00843230610276908,-0.0020689672004444355,0.012429946260371007,0,0
2001-02-20,-0.014478019180653225,-0.009523948534973032,-0.012076331775140694,1,0,0,0,0,0,0.05238105944290552,-0.01886737400256473,-0.017841644710121875,0.003507282000961311,-0.00843230610276908,-0.0020689672004444355,0,0
2001-02-21,0.06933469340106417,-0.012494237254456926,0.0065085672087227325,0,0,0,0,0,0,0.0371878509319372,-0.0012884662418383974,-0.01886737400256473,-0.017841644710121875,0.003507282000961311,-0.00843230610276908,0,0
2001-02-22,0.010548283836258714,-0.0038758790132613283,0.005591881780039284,0,0,0,0,0,0,0.030351387244118816,0.005127178416977756,-0.0012884662418383974,-0.01886737400256473,-0.017841644710121875,0.003507282000961311,0,0
2001-02-23,-0.011512759075787134,0.0002044797858600517,-0.021836369119430998,0,1,1,0,0,0,0.0011030991974796882,-0.009944150797174922,0.005127178416977756,-0.0012884662418383974,-0.01886737400256473,-0.017841644710121875,0,0
2001-02-26,-0.010960780268315153,-0.08718594172933468,-0.030771648913265805,0,0,0,0,0,0,-0.06655182851630245,-0.004536138738068536,-0.009944150797174922,0.005127178416977756,-0.0012884662418383974,-0.01886737400256473,0,0
