Price,Open,Close
Ticker,ES=F,ES=F
Date,,
2025-02-05,6042.75,6086.5
2025-02-06,6090.25,6106.0
2025-02-07,6089.75,6049.5
2025-02-10,6016.0,6088.75
2025-02-11,6085.5,6092.25
2025-02-12,6090.75,6072.75
2025-02-13,6079.75,6135.25
2025-02-14,6131.75,6132.0
2025-02-18,6138.25,6146.75
2025-02-19,6143.75,6163.0
2025-02-20,6153.75,6136.5
2025-02-21,6132.5,6029.0
2025-02-24,6040.75,6000.75
2025-02-25,6006.5,5970.0
2025-02-26,5982.0,5970.75
2025-02-27,5980.0,5876.25
2025-02-28,5883.0,5963.25
2025-03-03,5967.5,5860.75
2025-03-04,5874.0,5789.5
2025-03-05,5832.0,5851.25
2025-03-06,5844.75,5746.25
2025-03-07,5766.0,5776.0
2025-03-10,5753.0,5620.75
2025-03-11,5622.0,5577.0
2025-03-12,5580.0,5604.75
2025-03-13,5596.5,5527.5
2025-03-14,5540.0,5640.0
2025-03-17,5626.75,5680.25
2025-03-18,5680.0,5618.0
2025-03-19,5618.5,5678.5
2025-03-20,5680.0,5662.5
2025-03-21,5664.0,5617.7998046875
2025-03-24,5740.0,5815.5
2025-03-25,5813.0,5826.5
2025-03-26,5831.0,5759.5
2025-03-27,5737.25,5739.25
2025-03-28,5741.75,5623.0
2025-03-31,5590.0,5653.25
2025-04-01,5644.25,5674.5
2025-04-02,5672.0,5712.25
2025-04-03,5550.5,5432.75
2025-04-04,5423.0,5110.25
2025-04-07,5007.0,5097.25
2025-04-08,5126.5,5020.25
2025-04-09,5006.25,5491.0
2025-04-10,5502.5,5302.0
2025-04-11,5299.25,5391.25
2025-04-14,5452.5,5440.75
2025-04-15,5431.75,5428.25
2025-04-16,5403.75,5305.75
2025-04-17,5308.0,5312.75
2025-04-21,5283.75,5184.75
2025-04-22,5182.5,5314.75
2025-04-23,5379.75,5401.75
2025-04-24,5409.0,5511.25
2025-04-25,5529.0,5549.75
2025-04-28,5544.0,5553.0
2025-04-29,5543.0,5583.75
2025-04-30,5579.5,5587.0
2025-05-01,5617.5,5623.25
2025-05-02,5608.5,5709.0
2025-05-05,5705.0,5672.75
