Price,Open,Close
Ticker,^FTSE,^FTSE
Date,,
2025-04-15,8134.2998046875,8249.099609375
2025-04-16,8249.099609375,8275.599609375
2025-04-17,8275.599609375,8275.7001953125
2025-04-22,8275.7001953125,8328.599609375
2025-04-23,8328.599609375,8403.2001953125
2025-04-24,8403.2001953125,8407.400390625
2025-04-25,8407.400390625,8415.2998046875
2025-04-28,8415.2998046875,8417.2998046875
2025-04-29,8417.2998046875,8463.5
2025-04-30,8463.5,8494.900390625
2025-05-01,8494.900390625,8496.7998046875
2025-05-02,8496.7998046875,8596.400390625
2025-05-06,8596.400390625,8597.400390625
2025-05-07,8597.400390625,8559.2998046875
2025-05-08,8559.2998046875,8531.599609375
2025-05-09,8531.599609375,8554.7998046875
2025-05-12,8554.7998046875,8605.0
2025-05-13,8605.0,8602.900390625
2025-05-14,8602.900390625,8585.0
2025-05-15,8585.009765625,8617.259765625
